图像名称,图像概念,图像叙事,类别,距离,图像情感类别,检查,概念
061166.jpg,荔枝； 柑橘类水果；,"回想城市里动辄十块八块的荔枝价格,小编是恨得牙关紧咬.",7,1,0,,1.0
061170.jpg,湖畔； 地图；厦门,厦门市地图,15,1,0,1.0,1.0
061171.jpg,汽车；香水；出风口,美克杰 汽车空调出风口香水车用香水车载出风口除异味创意通风口,15,1,0,1.0,1.0
061173.jpg,攀爬架； 公园；绿都澜湾；健身,绿都澜湾丨椿之趣——家门口的童话乐园,10,3,0,,1.0
061174.jpg,葡萄园； 葡萄； 藤蔓； 葡萄藤； 收获,贫困户李常刚和哥哥李常强,5,2,0,1.0,1.0
061175.jpg,手写； 书写； 笔记本； 文字材料,照那斯图.蒙古文和八思巴字元音字母的字素分析[期刊].,14,1,0,,1.0
061176.jpg,汽车广告背景图； 名车； 豪华轿车； 轿车,宾利卡其米兰,6,1,7,1.0,1.0
061177.jpg,眼泪； 哭； 欺凌； 黑眼睛； 悲痛,"但是对于选择考研的妹子来说,基本上只剩下了晚睡早起了吧.",9,1,0,,1.0
061179.jpg,阔腿裤； 背带裤； 连衣裤； 金色的银杏树； 金黄色； 迪丽热巴,"看了迪丽热巴这组自拍照后,不少网友都纷纷表示迪丽热巴现在也太瘦了",11,2,0,1.0,1.0
061182.jpg,走廊； 过道； 连廊； 隧道； 办公室隔间,线性灯管的空间科技感运用,6,3,0,,1.0
061184.jpg,访谈； 日本文化； 日式,富士胶片ceo古森重隆:变革需要强势领导力,2,1,0,1.0,1.0
061185.jpg,篮板； NBA2k21； 篮子； 篮球； 雄鹿,威廉姆森创杜克大学纪录 能传能扣成状元热门,3,3,0,,1.0
061187.jpg,汽车广告背景图； 名车； 传单；,"你的那个ta如果还没在你身边,就是正在快马加鞭向你赶来",15,1,0,1.0,1.0
061189.jpg,跳远； 体育活动； 运动竞赛,"海门,海南幼儿园进行的一场以""足球""为主题的亲子游戏.",9,3,0,1.0,1.0
061195.jpg,平板电脑； 触控板；,目前的市面上的全面屏手机作为真正的全面屏还有略微的不足,6,1,0,,1.0
061196.jpg,汉字； 书法作品； 福字； 书法； 书写,"练字日记贵坚持,学习曾公重知行",9,1,0,,1.0
061198.jpg,德国高速公路； 国道； 高速公路； 盘山公路； 沿淮风光带,"最新高速路况实时更新,点击查看详情",5,1,0,1.0,1.0
061199.jpg,游标卡尺； 悬挂式滑翔机； 测量工具,配重可以设计到尾部或安装到全动式尾翼片的前部.,6,1,0,1.0,1.0
061202.jpg,学校；报到时间；要求；义务教育,2021年烟台福山区义务教育段公办学校报到时间报到要求,9,1,0,1.0,1.0
061203.jpg,剁肉； 牛肉； 家畜； 羊肉； 肉汁,"独家20元优惠赶紧抢!元初到家新疆内蒙草原羊,一年只有一季!",7,1,0,1.0,1.0
061204.jpg,文字logo； 五星级酒店；,上饶天龙山大酒店位于著名的世界自然遗产地——秀丽奇绝的三清山北麓,15,1,0,1.0,1.0
061206.jpg,马尾辫； 麻花辫； 发带； 柔术； 吴昕,期待快本更多造型!娜扎拍照小能手!,11,1,0,1.0,1.0
061207.jpg,钢琴师； 钢琴； 圆号；乐章,"""月光""奏鸣曲第一乐章",14,1,0,1.0,1.0
061208.jpg,SUV； SUV汽车； 四驱车；,驾驶长安欧尚x5去成为想成为的自己,6,2,7,1.0,1.0
061211.jpg,红橘； 红色； 红色头发； 红灯笼； 唐嫣,"唐嫣步入杨幂的御姐路线,并解锁泫雅同款烟熏妆,生图",11,1,0,1.0,1.0
061215.jpg,听诊器； 心电图机； 医疗流程； 心脏病专家,最新高血压标准修改!和每个高血压人息息相关!,8,1,0,,1.0
061217.jpg,酸橙； 龙舌兰酒； 利口酒； 鸡尾酒； 柠檬水,手动学起来吧! 西瓜 柠檬 冰块 蜂蜜 ↓↓↓,7,1,0,,1.0
061218.jpg, FIFA；奖牌；马特乌斯·库尼亚,马特乌斯·库尼亚举着奖牌,3,1,6,,1.0
061219.jpg,诈骗；垃圾邮件,有的是接到自称社保部门工作人员电话接到不少社保卡诈骗类的警情近期,5,1,0,,1.0
061220.jpg,机场航站楼； 航站楼； 机场； 广告牌； 玻璃幕墙,玻璃幕墙,3,1,0,1.0,1.0
061222.jpg,幻灯片图表； 图表； 图表设计师； 数据统计,移动互联网---指尖上的理财生活ppt,2,1,0,,1.0
061224.jpg,书法作品； 书法； 题字； 汉字； 福字,天佑中华,14,1,0,,1.0
061225.jpg,步枪； 狙击手； 防弹衣； 枪械； 迷彩服,"狙击步枪弓弩齐上阵 云南武警特战队员上演""枪王""对决",12,1,0,,1.0
061226.jpg,玉雕； 玉器； 文玩； 玉石； 石雕,福建寿山石 俏色透雕芙蓉石 双龙戏珠 印章 巧夺天工,14,1,0,,1.0
061229.jpg,驴； 毛驴； 农业劳动； 耕作地； 耕地,男子用骡子耕地几十年 月入过万,15,3,0,,1.0
061230.jpg,iphonexr；电话卡,"深挖细节,从十个重点聊聊iphone xr是否真香",6,1,0,,1.0
061231.jpg,政府人员；图纸,4月26日副市长杨武民调研督导第六医院建设项目,1,3,0,1.0,1.0
061233.jpg,日本短尾猫； 窗台； 中国大白猫； 布偶猫； 长毛猫,"""客来敬茶"",这是中国人最早重情好客的传统美德与礼节.",14,1,0,,1.0
061234.jpg,证书； 签字； 信笺；,"法规,规章,其他规范性文件和《公司章程》的规定,本次股东大会合法",13,1,0,1.0,1.0
061236.jpg,中央电视台大楼； 办公大楼； 拱形建筑； 会议中心,"一汽轿车股份有限公司是中国第一汽车集团的控股子公司,是一汽集团",6,3,0,1.0,1.0
061237.jpg,拳击； 拳击场； 踢腿拳击； 格斗拳击； 拳击手套,直击赛场丨拳击:像个绅士一样去挥动双拳!,3,1,0,,1.0
061239.jpg,双层床； 学生床； 床品； 床架； 床上用品,"本屋创品纯棉家纺三件套六件套""生如夏花""学生宿舍床",15,1,0,1.0,1.0
061240.jpg,有活力的老人； 老人； 日本之神道教； 老年人； 木版画,朱熹画像,14,1,0,,1.0
061241.jpg,骑自行车； 非洲； 串联自行车； 自行车头盔； 山地自行车,恩戈洛·坎特在骑车,3,2,6,,1.0
061242.jpg,道家经书； 诗词； 圣人；,"表面看来,诗人真能自得其乐,可是深处却有无限的凄凉.",14,3,0,,1.0
061244.jpg,中国风； 旗袍；  皇家园林； 蒋梦婕,蒋梦婕美照,11,2,1,1.0,1.0
061245.jpg,手机摄影； 手机； 手机截图； 移动电话； 屏幕截屏,2280出出黑鲨游戏手机2 pro12 128,6,1,0,,1.0
061246.jpg,地毯； 曼荼罗； 毯子； 挂毯； 花纹图案,"才发现说的是喀纳斯不是喀什,来给你们看看我在喀什碎片时光吧",15,1,0,,1.0
061250.jpg,青岩古镇； 巷子； 街巷； 胡同； 小巷,"【菜园老爸走世界】千年濠河,千年南通",15,3,0,,1.0
061251.jpg,反曲弓架；铝合金,反曲弓架铝合金decut 迪酷特弯头handa射箭弓箭高企弓,3,1,0,1.0,1.0
061253.jpg,数据统计； 幻灯片图表； 互联网,"苹果vr眼镜或明年wwdc发布,哈利波特官方",6,1,0,,1.0
061254.jpg,曹德旺,曹德旺接受采访,5,1,0,1.0,1.0
061255.jpg,书法作品； 书法； 字画； 书写,书法 书法作品 412_690 竖版 竖屏,14,1,0,,1.0
061258.jpg,雨水； 雷雨； 雨季； 雨,暴雨黄色预警logo,5,1,0,,1.0
061260.jpg,互联网； 工业机械； 建筑工地； 塔吊； 抽象拼贴画,"生产企业,已成为国家经济建设所需重大装备及核心部件的研发制造基地",6,1,0,,1.0
061261.jpg,贫民窟； 贫穷； 印度文化； 胡里节； 家庭生活,"三个孩子相继结婚之后,母亲最愁的就是老三阿晨的婚事了.",15,3,0,,1.0
061262.jpg,风力发电； 风电场； 风车； 风能； 风力,羊群经过风能发电设备.云南省会泽县大海乡位于滇东北乌蒙山主峰.,6,3,0,,1.0
061263.jpg,药店； 药物； 药品； 抗生素； 药,安美平(苯磺酸左旋氨氯地平片)安美平 国药准字h[价格、,8,1,0,,1.0
061265.jpg,电脑空间； 计算机图标； 电脑； 台式电脑,我一开电脑就出现这个软件那是什么我笨不懂_百度知道,6,1,0,1.0,1.0
061266.jpg,礼品盒； 眼影盘； 眼影盒； 红包； 唇膏口红,磨砂玻璃瓶的质感真的是品质 美妆鹂小鹂  ,11,1,0,,1.0
061267.jpg,踮着脚尖走； 帆布鞋； 牛仔裤,初秋穿衬衣背心正合适看看这些日杂的时髦穿法,11,2,0,,1.0
061268.jpg,地球； 星球； 宇宙,"太空中的地球,原来是这般景象,难怪会让人心生寒意!",6,3,0,1.0,1.0
061269.jpg,电饼铛； 烧烤架； 电烤箱； 空气炸锅； 烤面包机,京东0点前200件九阳 迷你早餐机1扫图②码京东千禾,15,1,0,,1.0
061270.jpg,回民街； 小吃街； 美食街； 肉店； 街景,北顺城街的牛羊肉批发市场,15,3,0,,1.0
061272.jpg,中国红； 中式婚礼； 礼服,秀禾服新娘2019新款春季中式婚服结婚敬酒服婚纱礼服爆款热销礼服,15,2,0,,1.0
061273.jpg,课堂； 教学； 教室； 课桌椅； 教育,研学引思 以培促教——宽城区物理名师工作室开展培训,9,3,0,,1.0
061274.jpg,外立面； 建筑正立面； 霓虹灯； 鞋店； 商圈,天津今年拟开3个万达宁波阪急416开业北京公主坟翠微月底闭店重装,15,3,0,1.0,1.0
061275.jpg,西芹； 蔬菜沙拉； 炒菜； 凉菜； 家常菜,"翻炒一分钟后加入葱末,酱油和盐继续翻炒至熟",7,1,0,,1.0
061276.jpg,庙宇； 庙； 山门； 斗拱； 雕梁画栋,"正殿有金漆雕木门页12扇,画工精美.",14,1,0,,1.0
061277.jpg,唢呐； 长号； 军乐队； 打击乐器； 萨克斯管吹奏者,"现在,唢呐班子在当地依旧分布甚广,颇成气候.",14,3,0,1.0,1.0
061278.jpg,盘球； 土豆； 球； 球体； 乒乓球,"加入低筋面粉.1,黄油室温软化后切成小块.",7,1,0,,1.0
061279.jpg,水库； 大坝； 湖边； 采石场； 水坝,"天生坝水库养鸭场全拆完了,此处应有掌声!",10,3,0,1.0,1.0
061281.jpg,猕猴； 猴子； 猩猩； 猿； 黑猩猩,"四川各山头的猴子,峨眉山的猴子最跋扈,这座山的猴子最佛系",10,1,0,1.0,1.0
061283.jpg,小七孔； 大坝； 水坝； 瀑布； 碧绿湖水,贵州的5a景点风景美如九寨沟游客后悔一件事,10,3,0,,1.0
061284.jpg,眼镜； 成功人士； 灰发；沃伦·巴菲特,巴菲特,2,1,0,1.0,1.0
061285.jpg,博览会；  展台； 展会,京城股份国内氢气瓶领军企业冬奥会供应链企业,6,1,0,,1.0
061287.jpg,太阳能电池板； 太阳能板； 太阳能； 清洁能源； 太阳能热水器,东北地区首个火电—储能联合调峰示范工程实现并网.,5,2,0,1.0,1.0
061288.jpg,水彩作品； 水彩画； 建筑绘画； 写生； 马克笔,《泰晤士河边的圣保罗大教堂》,14,1,0,,1.0
061289.jpg,豆象,"我有更好的答案 豆象,从豆类粮食中来的,去找找…看.",7,1,0,,1.0
061290.jpg,政治； 政治家； 总统； 投票； 当选； 唐纳德·特朗普； 希拉里·克林顿,"美国首场电视辩论:希拉里与特朗普面对面""开撕""",1,1,0,1.0,1.0
061291.jpg,水果刀； 刀； 刀刃； 切肉刀； 解剖刀,"蓝钢在高光影下是偏黑的风格,本身采用了亮度磨损所以基本上无需考虑",0,1,0,1.0,1.0
061292.jpg,广州塔； 广州电视塔； 摩天大楼； 城市夜景； 图书封面,"在深多年,甘肃人深圳地铁车厢日常",15,1,0,,1.0
061294.jpg,肌腱； 舒展肢体； 修脚； 手腕； 物理疗法,"老中医秘传的经络五行图,也许会对你以及你身边的人有帮助",8,1,0,,1.0
061295.jpg,独轮脚踏车； 机动脚踏车； 健身车； 三轮车； 串联自行车,《醉夕阳》组图一 燕子摄于湖海塘,15,3,0,,1.0
061300.jpg,城市交通； 交通； 交通运输； 立体交通； 车流,杭州26日起汽车限购 深圳还会远吗,5,3,0,1.0,1.0
061302.jpg,江南百景图； 朝鲜族； 传统服装； 明朝风格； 古服装,"这里是县城之中,陈府一家人不是本地人,作为家主的陈员外,带着妻子",14,3,0,1.0,1.0
061303.jpg,药品； 药物； 药；医药,"改善下列疾病所致的维生素d代谢异常的各种症状(如低血钙,手足搐搦",8,1,0,,1.0
061306.jpg,法官； 槌子； 法庭； 法律； 律师,"购买狮子腿的林某,孙某另案处理.",13,1,0,,1.0
061307.jpg,空调； 火车内部； 车厢； 通风设备； 百叶帘,办公楼每个入口处安装3台120cm风幕机,15,1,0,1.0,1.0
061308.jpg,猎豹； 金钱豹； 豹子； 美洲豹； 野生猫科动物,"花豹将食物藏上树,没想到被母狮看见,花豹回来不知会是什么心情",10,2,0,,1.0
061309.jpg,丝瓜； 毛豆； 豆类； 农业劳动；,"该村通过发展特色产业,已成为了名副其实的蔬菜大村.",10,2,0,1.0,1.0
061310.jpg,卧室； 双人床； 床,"榆树馆西里,西直门外南路105号-朔州榆树馆西里二手房",15,3,0,1.0,1.0
061313.jpg,蓝色背景； 斜边； 蓝色； 横画幅； 曲线,人教版 小学 美术 三年级 第十四课 我设计的自行车 课件ppt,9,1,0,,1.0
061316.jpg, 水晶制品；艺术字,艺术字,0,1,0,1.0,1.0
061317.jpg,8个法则；逆境；精进；书籍,最难的事其实最简单:逆境中精进自我的8个法则 施俊侃,9,1,0,1.0,1.0
061318.jpg,啤酒瓶； 啤酒； 窖啤酒； 啤酒罐； 啤酒杯,stone发布带有中国元素的新款啤酒,7,1,0,1.0,1.0
061320.jpg,唱歌； 麦克风； 话筒； 歌手；猫,"主人听到猫咪怪叫声,赶紧进来一看,顿时被雷到:这猫怕是成精了",15,1,0,,1.0
061321.jpg, 皇帝； 大胡子；  上胡须,"玉衡二十四年(334年),六十一岁的李雄驾崩,在位共三十年.",14,1,0,,1.0
061326.jpg,篮球运动员； 链球； 手球； 篮球； 罚球； 周琦,团队败诉周琦或无缘联赛大魔王若与睢冉进行切割依然有机会,3,2,0,,1.0
061327.jpg,手表；  银饰； 钟表； 银色,瑞士cyma(西马)150周年纪念版腕表预览,11,1,0,1.0,1.0
061329.jpg,美腿； 腿； 大腿,"你会不会很纳闷,明明体重很轻,但是小腿肌就是特别壮硕发达",8,1,0,1.0,1.0
061330.jpg, 荒漠地区； 贫穷； 也门,"不过当时的也门一分为二,分别建立了南也门和北也门",5,3,0,1.0,1.0
061332.jpg,单亲家庭； 土家族； 村落； 双亲家庭； 村庄航拍,"入户时每2人一组,持建档立卡户普查表逐项实地查看验收.",15,3,0,1.0,1.0
061333.jpg,接种疫苗； 创可贴，医用胶带； 急救员； 外科口罩； 医疗用品,终于艰难完成了hpv九价疫苗,8,1,0,,1.0
061334.jpg,丝绸之路； 维吾尔族； 七彩丹霞； 清真寺； 沙漠,带着国际血统的艾德莱斯与现代时尚的完美融合,11,3,0,,1.0
061336.jpg,回民街； 汉口； 棉服； 雪凇； 商圈,"那天哈尔滨下雪,飞机延误了,本来下午两点到的",10,3,0,,1.0
061339.jpg,马匹； 鞍马； 马球； 马； 古画,古董界捡漏神话其中最瞩目耀眼的要数《五王醉归图卷》,14,1,0,,1.0
061341.jpg,FIFA； 非洲式发型； 插画； 黄色,最新曝广州恒大保利尼奥离队进展下家让球迷太意外,3,1,0,,1.0
061342.jpg,水墨； 水墨画； 水花； 水的形态； 水波,【蓝黑墨水的洗涤方法】墨水用什么能洗掉 墨水怎么样,15,1,0,,1.0
061345.jpg,保时捷； 梅赛德斯奔驰,4万至84.8万元不等.最受小姐姐喜欢的保时捷是那款?,6,2,0,,1.0
061346.jpg,银行；高管；网利宝,渣打银行前风控高管正式加入网利宝 任首席风控,2,2,6,1.0,1.0
061349.jpg,沈阳故宫； 严家大院；天花板,"红木家具搭配讲究,2019年转运的十种客厅搭配格局",15,3,0,,1.0
061350.jpg,零售；排名,"根据乘联会的数据,虽然在零售排名上,一汽大众,上汽大众和上汽通用",2,1,0,1.0,1.0
061352.jpg,短裤； 学龄儿童； 学龄前儿童,"让我们携起手来,共同为保障孩子的平安健康成长而努力.",9,1,0,1.0,1.0
061356.jpg,摩天轮； 大转轮； ,"las vegas衣食住行全攻略,多图滑动",10,3,0,,1.0
061358.jpg, 接有电线的； 数据线； 电线缆； 电线,xiaomi 小米活塞入耳式耳机[2.0]   单元振膜,6,1,0,,1.0
061359.jpg,活字印刷； 皇冠； 车头,而这也正是奔腾t77 pro在设计上的核心所在.,6,1,0,,1.0
061360.jpg,单肩包； 背包； 安全座椅； 粗棉布裤； 牛仔衣,细节之处的特写!,11,1,0,1.0,1.0
061362.jpg,高州；返乡人员；登记通知,茂名高州返乡人员登记通知,1,1,0,1.0,1.0
061363.jpg,拥挤人流； 十字路口； 斑马线； 人行横道； 大量人群,"地球上最拥挤的地方,美国这个城市上榜了!",5,3,0,1.0,1.0
061366.jpg,笔记本电脑； 笔记本； 水珠； 触控板；,笔记本电脑进水了怎么办,6,1,0,1.0,1.0
061367.jpg,池塘里的观赏鱼； 对虾； 观赏鱼； 海虾； 鱼缸,"这是泽库镇科技创新赋能海洋产业的生动缩影.依海而生,向海而兴.",6,3,0,,1.0
061368.jpg,自连；健康管理；小程序,自连正式推出aiapp实时健康管理小程序,6,1,0,,1.0
061369.jpg,梳妆用品； 日用品； 化妆用品； 生活用品； 美发用品,"月饼礼盒风格多样一线品牌齐聚一堂,除了年年爆款的美心和哈根达斯",7,1,0,,1.0
061371.jpg,中控大屏； 液晶中控大屏；  触摸屏； 车载设备,"上下两条腰线,将车侧勾勒出俯冲的姿态.",6,1,0,,1.0
061372.jpg, 抽彩给奖法； 微型投影仪,"他和方得网透露,做销售说到底要靠每一名员工的悟性去提升自己",2,2,6,1.0,1.0
061374.jpg,湖水倒影白云； 人工湖； 湖水湖面； 湖边,"安徽那些比景点还美的大学角落,不容错过的小清新拍照",10,3,0,,1.0
061375.jpg,海绵； 毡； ,"在声源附近使用吸音板,可以有效减少噪音在室内传播的声能",0,1,0,1.0,1.0
061377.jpg,盆景； 树根； 榕树； 枯树； 枝干,"冬剪后其盆景的根爪,隆基,主干,枝托分布,整体型式一览无遗!",10,1,0,,1.0
061378.jpg,手机截图,"经过近年来在酒旅行业的技术积累与创新,太目科技已经将自身打造成了一家技术驱动的科技创新企业",6,1,0,,1.0
061379.jpg,天花板； 微型投影仪； 客厅； 爬行动物； 会议室,现代简约风格董事长办公室背景墙装修效果图,15,3,0,,1.0
061380.jpg,核心价值观；模板,中国风核心价值观挂图模板,5,1,0,,1.0
061381.jpg,万用表； 表盘；,锐普海尚富陆力控徐控变频器220v380v专用通用变频器,6,1,0,1.0,1.0
061382.jpg,国徽； 中国军人,图为红其拉甫边检站民警在国门界碑前庄严宣誓,12,1,0,1.0,1.0
061383.jpg,中南大学；校门,中南大学:关于学生返校报到期间校区大门临时管制,9,3,0,1.0,1.0
061388.jpg,鹿韭； 野兔； 卡通兔子； 袋鼠； 鹿,国际名校名师推荐:数字魔鬼,9,1,0,1.0,1.0
061389.jpg,精华乳液； 护肤乳液； 面霜； 护肤品； 化妆品,所以我也早早的把抗老提上了日程,11,1,0,,1.0
061390.jpg,课堂； 教室； 课桌椅； 教学,老师的体育课充满了欢乐,9,3,0,,1.0
061391.jpg,邮戳； 国徽； 印章； 伊斯兰教； 证章,合同专用章下面的一圈小数字是什么意思,13,1,0,1.0,1.0
061392.jpg,数据线； 电线缆； 手机充电器； ,不按常理出牌的发光手机数据线引雷军感叹:小米早该生产,6,1,0,,1.0
061393.jpg,轻便摩托车； 黄龙； 电动车； 机动脚踏车； 摩托车,后扶手动货架小人九号ej后座于电后载牛,15,1,0,1.0,1.0
061394.jpg,观众； 座位； 座椅靠背； 座椅； 礼堂,2019ccide第六届海峡两岸创意创新高峰论坛在湖北大学,9,3,0,,1.0
061398.jpg,病理；报告书；签发过程,病理诊断报告书的签发过程,8,1,0,,1.0
061399.jpg,磨粉机参数；雷蒙,3r75雷蒙磨粉机,6,1,0,1.0,1.0
061400.jpg,上外附中；申请表,"上海""神仙学校""上外附中入学途径揭秘",9,1,0,1.0,1.0
061402.jpg,排球； 排球场；  ,"中国女排全力以赴世界联赛——如果朱婷不上场,球迷会失望",3,1,0,,1.0
061404.jpg,厨用刀； 切肉刀； 菜刀； 水果刀； 解剖刀,敬平菜刀家用超快锋利女士切菜刀菜板二合一厨房刀具套装宿舍专用厨具,15,1,0,1.0,1.0
061405.jpg,医护人员； 照明设施； 外科口罩； 护士,【疫情防控常态化】中兵物业开展全员核酸检测_服务,5,3,0,,1.0
061408.jpg,面包； 面包机； 法式长棍面包； 小圆面包； 椒盐饼干,王师傅老北京香酥芝麻饼加盟总部,7,1,0,,1.0
061412.jpg,证书； 文凭,成都佰禾科技有限公司,13,1,0,1.0,1.0
061413.jpg,超文本链接标示语言； 病毒；,教授团队发表h7n9禽流感研究新成果,6,1,0,,1.0
061415.jpg,草帽； 宽边帽； 太阳帽； 圆顶硬礼帽； 礼帽,新款海边度假帽子草帽女夏天韩版大檐沙滩帽卷边礼帽,11,1,0,1.0,1.0
061416.jpg,电子表格； 图表； 答题卡,"在市场化的解放下,以位于北京石景山的八大处整形外科医院为首的公立医院收入",2,1,0,,1.0
061417.jpg,盾形徽章； 文字logo； 徽章；,解放新大威 天然气(lng)牵引车,6,1,0,1.0,1.0
061419.jpg,江涵；微信公众平台,江涵微信公众平台上线通知,6,1,0,,1.0
061420.jpg,高管；辞职；阿里,阿里高管引咎辞职却意外撕下企业内部遮羞布马云或将再陷深渊,6,1,0,,1.0
061422.jpg,市长；办公室；电脑,"临沂市市长谈铁腕治污 重塑""沂蒙蓝""",1,1,0,1.0,1.0
061424.jpg,罚球； 篮板； 篮球运动员； NBA； 林书豪,"他希望新赛季有球可打,不想浪费时间坐在替补席上.",3,1,0,,1.0
061425.jpg,黄土高原； 山坡； 山丘； 山峦； 山体,"大叔说自家的放养山猪从来不愁销,十多年每到腊月里就会有来自市里的人来购买",10,3,0,,1.0
061428.jpg,道德与法治；思维导图,人教版道德与法治八年级下册思维导图全,9,1,0,,1.0
061432.jpg,中控大屏； 大众汽车； 液晶中控大屏；  内饰,"5万买2021款大众朗逸,附各配置推荐及车主提车价",6,1,0,,1.0
061433.jpg,横幅； 燕尾旗；条幅,"""抗疫""期间,又一校外培训机构非法办学被查",9,1,0,1.0,1.0
061434.jpg,青山绿水； 河谷； 山涧； 河流； 河床,"避暑""凉""方是时候安排上了!出门稍微走两步就热到冒汗",10,3,0,,1.0
061435.jpg,NBA； 笑容； 微笑； 微笑的； 笑； 科比,湖人胜勇士加索尔篮下强攻 科比指导小鲨,3,1,6,,1.0
061436.jpg,高举手臂； 胜利； 阿兰·道格拉斯·博格斯·德卡瓦略,"打进第三球后,他做了一个三分的手势.",3,2,0,,1.0
061437.jpg,银行金库； 家庭理财；现金流转,"所以资产的长期配置,到底要不要选这款产品,相信大家已经心中有数.",2,1,0,1.0,1.0
061438.jpg,青花瓷； 瓷碗； 青花； 碗； 瓷器,"光绪时青花纹饰多样,虽有不少仿古纹饰,使画法更简单,布白更平稳",14,1,0,,1.0
061440.jpg,卷尺； 软尺； 硬木地板； 木地板； 测量工具,湖南:巡视进驻不到24小时 发现重要问题线索,1,1,0,1.0,1.0
061443.jpg,少林寺； 天王殿；  庙,第一最:造型独特的宋代建筑摩尼殿.,14,3,0,,1.0
061445.jpg,小鸡； 幼鸟； 雏鸟； 金丝雀； 小鸟,"这几类食物记得常吃,不仅能养肤,还对宝宝智力发育有帮助",7,1,0,,1.0
061447.jpg,校服； 书本； 校车； 青少年； 中学生,"和全球化视野,帮助学生未来进入世界名校和终身发展奠定坚实的基础",9,3,0,,1.0
061448.jpg,藏传佛教； 曼荼罗； 梵文； 菩萨； 卓木拉日,"他给前三类法门定名为有戏法门,极密类宁提法门他随身携带形影不离.",14,2,0,,1.0
061450.jpg,纸盒； 牛皮纸； 纸板； 纸箱； 纸箱子,"像如今这类饭食分离出来的包裝,就可以在接单子前就把打盒的工作中",15,1,0,1.0,1.0
061452.jpg, 票据； 票；,好口碑的注册公司流程和费用如今基本上所有的股票都是先有投机即,13,1,0,1.0,1.0
061455.jpg,庭园； 居住区； 庭院； 沙坑； 水景,龙湖春江天玺销售中心电话地址价格优惠详情官方龙湖春江,15,3,0,1.0,1.0
061456.jpg,合唱团； 中国红； 合唱指挥；,安踏在今年毫无疑问能完成在中国市场对阿迪达斯的超越,3,3,0,1.0,1.0
061457.jpg,手机壳； 苹果； 智能手机,手机对比,6,1,0,,1.0
061458.jpg,指甲油； 指甲； 翘起大拇指； 修指甲； 手指,"4次上药就出现了白发转黑发的情况,黑发都是从根部开始生长的",8,1,0,,1.0
061459.jpg,九坤,过去几年量化私募中高频量价策略占据较大比重,2,1,0,,1.0
061460.jpg,字画； 福字； 题字； 书法作品,"甘肃书画家董恒汕《汉唐良传,秦晋雅风》作品在新加坡",14,1,0,,1.0
061462.jpg,婴儿；水；淹死,"即使水没有一根手指深,婴儿也可能被淹死.",5,1,0,,1.0
061465.jpg,摩崖石刻； 山崖； 悬崖峭壁； 洞穴； 山洞,"《系年》的这段记载是说周公东征,把飞廉杀死在东边海边.",14,1,0,,1.0
061466.jpg,食用菌； 中药材； 中药； 食材； 菌类,【正版图书】 550种中药使用图典 老中医养生堂 福建科技出版社,8,1,0,1.0,1.0
